Table 1;;;;;;;
   Rank;   Movies;       Worldwide($);       Domestic($);  Domestic share(%);      Foreign($);   Foreign share(%);    
76;Firestarter;$14,889,250;$9,589,250;64.40%;$5,300,000;35.60%;
77;Ticket to Paradise;$14,782,000;NA;NA;$14,782,000;100%;
78;Orphan: First Kill;$14,780,687;$5,348,536;36.20%;$9,432,151;63.80%;
79;Super-h̩ros malgr̩ lui;$14,770,359;NA;NA;$14,770,359;100%;
80;X;$14,476,595;$11,765,309;81.30%;$2,711,286;18.70%;
81;The Duke;$14,292,822;$1,526,970;10.70%;$12,765,852;89.30%;
82;Sarkaru Vaari Paata;$14,199,018;NA;NA;$14,199,018;100%;
83;Memory;$13,460,842;$7,329,043;54.40%;$6,131,799;45.60%;
84;Valimai;$13,276,393;NA;NA;$13,276,393;100%;
85;Easter Sunday;$13,062,158;$13,005,330;99.60%;$56,828;0.40%;
86;Three Thousand Years of Longing;$12,928,739;$7,895,525;61.10%;$5,033,214;38.90%;
87;Alienoid;$12,667,987;$161,611;1.30%;$12,506,376;98.70%;
88;Fall;$12,012,353;$6,893,115;57.40%;$5,119,238;42.60%;
89;Bodies Bodies Bodies;$11,949,087;$11,354,813;95%;$594,274;5%;
90;Hunt;$11,892,216;NA;NA;$11,892,216;100%;
91;Jug Jugg Jeeyo;$11,467,726;$1,033,000;9%;$10,434,726;91%;
92;Tad the Lost Explorer and The Curse of the Mummy;$11,433,282;NA;NA;$11,433,282;100%;
93;Bergen;$11,308,620;NA;NA;$11,308,620;100%;
94;Laal Singh Chaddha;$11,171,157;$3,401,324;30.40%;$7,769,833;69.60%;
95;Men;$11,101,969;$7,587,853;68.30%;$3,514,116;31.70%;
96;Guglhupfgeschwader;$10,732,653;NA;NA;$10,732,653;100%;
97;Jurassic Park 2022 Re-release;$10,374,018;NA;NA;$10,374,018;100%;
98;Mrs Harris Goes to Paris;$10,318,385;$10,318,385;100%;NA;NA;
99;The Pirates: The Last Royal Treasure;$10,258,331;NA;NA;$10,258,331;100%;
100;Vaillante;$10,143,170;NA;NA;$10,143,170;100%;
